cluster_id,canonical_name,canon_id,basis,flag,death,tabaqa,n_entries,n_books,books,variant_names,members
17707,جعفر بن ابى ثروان الحارثي نسبه ابن المبارك,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن ابى ثروان الحارثي نسبه ابن المبارك,tarikh_kabir_bukhari:
17708,جعفر بن جرفاس التيمي، يقال عن على,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن جرفاس التيمي، يقال عن على,tarikh_kabir_bukhari:
17709,جعفر بن أبي جعفر الأشجعي (1) عن أبيه، هو ضعيف منكر الحديث,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن أبي جعفر الأشجعي (1) عن أبيه، هو ضعيف منكر الحديث,tarikh_kabir_bukhari:
17710,جعفر بن حذيفة، سمع عليا، روى عنه الحسن بن سعد,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن حذيفة، سمع عليا، روى عنه الحسن بن سعد,tarikh_kabir_bukhari:
17711,جعفر بن حيان أبو الأشهب العطاردي البصري، قال وكيع: السعدي، سمع أبا رجاء العطاردي والحسن وقال لى محمد ابن محبوب: مات سنة خمس وستين ومائة في آخر يوم من شعبان، روى عنه يحيى القطان، يقال: مولاهم، وقال عبد الصمد: حدثنا,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن حيان أبو الأشهب العطاردي البصري، قال وكيع: السعدي، سمع أبا رجاء العطاردي والحسن وقال لى محمد ابن محبوب: مات سنة خمس وستين ومائة في آخر يوم من شعبان، روى عنه يحيى القطان، يقال: مولاهم، وقال عبد الصمد: حدثنا,tarikh_kabir_bukhari:
17712,جعفر بن الحارث الواسطي النخعي أبو الأشهب، عن منصور، وقال يزيد بن هارون: كان ثقة صدوقا,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن الحارث الواسطي النخعي أبو الأشهب، عن منصور، وقال يزيد بن هارون: كان ثقة صدوقا,tarikh_kabir_bukhari:
17713,جعفر بن خارجة، سمع أنسا، روى عنه مغيرة ابن عبد الرحمن,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن خارجة، سمع أنسا، روى عنه مغيرة ابن عبد الرحمن,tarikh_kabir_bukhari:
17714,جعفر بن خالد بن سارة المخزومي المكي، سمع أباه، روى عنه ابن جريج وابن عيينة,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن خالد بن سارة المخزومي المكي، سمع أباه، روى عنه ابن جريج وابن عيينة,tarikh_kabir_bukhari:
17715,جعفر بن خالد بن الزبير بن العوام القرشى الاسدي,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن خالد بن الزبير بن العوام القرشى الاسدي,tarikh_kabir_bukhari:
17716,جعفر بن ربيعة بن شرحبيل بن حسنة القرشي المصري، سمع الأعرج وبكر بن سوادة، روى عنه الليث ويحيى بن أيوب، قال ابن بكير: مات سنة ست وثلاثين أو نحوها، وقال حيوة حدثنا بكر بن عمرو (2) : سمع جعفر بن شرحبيل بن حسنة بلغه ان معاوية، واراه هو الاول,,name,ok,,,1,1,tarikh_kabir_bukhari,جعفر بن ربيعة بن شرحبيل بن حسنة القرشي المصري، سمع الأعرج وبكر بن سوادة، روى عنه الليث ويحيى بن أيوب، قال ابن بكير: مات سنة ست وثلاثين أو نحوها، وقال حيوة حدثنا بكر بن عمرو (2) : سمع جعفر بن شرحبيل بن حسنة بلغه ان معاوية، واراه هو الاول,tarikh_kabir_bukhari:
