name_norm,display_name,n_books,n_entries,source_types,books,pages
اسحاق بن ابراهيم,إسحاق بن إبراهيم,3,5,general; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),lisan_mizan_ibnhajar; mughni_duafa_dhahabi; tarikh_kabir_bukhari,
عبد الله بن سلمه,عبد الله بن سلمة,3,5,biography/ṭabaqāt; general; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad; tarikh_kabir_bukhari,tabaqat_ibnsad:ج3/ص434 | tabaqat_ibnsad:ج8/ص236
ابراهيم بن اسحاق,إبراهيم بن إسحاق,3,4,general; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),lisan_mizan_ibnhajar; mughni_duafa_dhahabi; tarikh_kabir_bukhari,
ابراهيم بن زياد,إبراهيم بن زياد,3,4,general; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),lisan_mizan_ibnhajar; mughni_duafa_dhahabi; tarikh_kabir_bukhari,
عثمان بن محمد,عثمان بن محمد,3,4,biography/ṭabaqāt; general; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad; tarikh_kabir_bukhari,tabaqat_ibnsad:ج7/ص484
عمرو بن حريث,عمرو بن حريث. </span>,3,4,biography/ṭabaqāt; general; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad; tarikh_kabir_bukhari,tabaqat_ibnsad:ج6/ص534
عمير بن سعيد,عمير بن سعيد,3,4,biography/ṭabaqāt; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar; tabaqat_ibnsad,tabaqat_ibnsad:ج5/ص294 | tabaqat_ibnsad:ج8/ص290
عيسي بن موسي,عيسى بن موسى,3,4,general; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar; tarikh_kabir_bukhari,tarikh_kabir_bukhari:ج6/ص392 | duafa_uqayli:ج3/ص384
يزيد بن زيد,يزيد بن زيد,3,4,general; general/jarḥ+taʿdīl; jarḥ (ḍuʿafāʾ),duafa_uqayli; lisan_mizan_ibnhajar; tarikh_kabir_bukhari,
يزيد بن عبد الله,يزيد بن عبد الله,3,4,biography/ṭabaqāt; general; general/jarḥ+taʿdīl,lisan_mizan_ibnhajar; tabaqat_ibnsad; tarikh_kabir_bukhari,tabaqat_ibnsad:ج7/ص486 | tabaqat_ibnsad:ج7/ص488
