display_name,name_norm,n_books,n_entries,source_types,books,pages
عبد الله بن سعيد بن أبي هند,عبد الله بن سعيد بن ابي هند,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج7/ص529 | duafa_uqayli:ج2/ص261
عمر بن محمد,عمر بن محمد,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج7/ص533 | duafa_uqayli:ج3/ص188
عمر بن حمزة,عمر بن حمزه,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج7/ص547 | duafa_uqayli:ج3/ص153
عمر بن صهبان,عمر بن صهبان,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج7/ص567 | duafa_uqayli:ج3/ص173
عبد العزيز بن أبي حازم,عبد العزيز بن ابي حازم,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج7/ص602
إياس بن خليفة,اياس بن خليفه,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج8/ص37 | duafa_uqayli:ج1/ص33
عبد العزيز بن أبي رواد,عبد العزيز بن ابي رواد,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج8/ص55 | duafa_uqayli:ج3/ص8
بشر بن السري,بشر بن السري,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,
عبد الرحمن بن أبي ليلى,عبد الرحمن بن ابي ليلي,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج8/ص229 | duafa_uqayli:ج2/ص337
يزيد بن عبد الرحمن,يزيد بن عبد الرحمن,2,2,biography/ṭabaqāt; tadlīs,tabaqat_ibnsad; tabaqat_mudallisin_ibnhajar,
عدي بن ثابت الأنصاري,عدي بن ثابت الانصاري,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,
محمد بن جحادة,محمد بن جحاده,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج8/ص454
قابوس بن أبي ظبيان الجنبي,قابوس بن ابي ظبيان الجنبي,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,
ليث بن أبي سليم,ليث بن ابي سليم,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج8/ص468
عبد الله بن شبرمة,عبد الله بن شبرمه,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج8/ص469 | duafa_uqayli:ج2/ص266
سعيد بن المرزبان,سعيد بن المرزبان,2,2,biography/ṭabaqāt; tadlīs,tabaqat_ibnsad; tabaqat_mudallisin_ibnhajar,
عائذ بن حبيب,عايذ بن حبيب,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج8/ص520
يونس بن بكير,يونس بن بكير,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,
علي بن ظبيان,علي بن ظبيان,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج8/ص525 | duafa_uqayli:ج3/ص234
علي بن قادم,علي بن قادم,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,
العلاء بن عمرو الحنفي,العلا بن عمرو الحنفي,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,duafa_uqayli:ج3/ص348
عبد الله بن شقيق العقيلي,عبد الله بن شقيق العقيلي,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج9/ص125
علي بن زيد بن جدعان,علي بن زيد بن جدعان,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,
عاصم بن سليمان الأحول,عاصم بن سليمان الاحول,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج9/ص255 | duafa_uqayli:ج3/ص336
عوف بن أبي جميلة الأعرابي,عوف بن ابي جميله الاعرابي,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج9/ص257
هشام بن حسان القردوسي,هشام بن حسان القردوسي,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج9/ص271 | duafa_uqayli:ج4/ص336
علي بن علي الرفاعي,علي بن علي الرفاعي,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج9/ص274
القاسم بن الفضل الحداني,القاسم بن الفضل الحداني,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج9/ص282 | duafa_uqayli:ج3/ص477
عمارة بن زاذان الصيدلاني,عماره بن زاذان الصيدلاني,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج9/ص283
عبد الوهاب بن عبد المجيد الثقفي,عبد الوهاب بن عبد المجيد الثقفي,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج9/ص291 | duafa_uqayli:ج3/ص76
عمر بن علي المقدمي,عمر بن علي المقدمي,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج9/ص292 | duafa_uqayli:ج3/ص179
بكار بن محمد بن عبد الله بن محمد بن سيرين,بكار بن محمد بن عبد الله بن محمد بن سيرين,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج9/ص298 | duafa_uqayli:ج1/ص152
حرمي بن عمارة بن أبي حفصة,حرمي بن عماره بن ابي حفصه,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,
أبو خالد الدالاني,ابو خالد الدالاني,2,2,biography/ṭabaqāt; taʿdīl (thiqāt),marifat_thiqat_ijli; tabaqat_ibnsad,tabaqat_ibnsad:ج9/ص312
محمد بن إسحاق بن يسار,محمد بن اسحاق بن يسار,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج9/ص323
أسد بن عمرو البجلي,اسد بن عمرو البجلي,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج9/ص333 | duafa_uqayli:ج1/ص24
عصمة بن محمد الأنصاري,عصمه بن محمد الانصاري,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج9/ص334 | duafa_uqayli:ج3/ص340
سعيد بن سليمان الواسطي,سعيد بن سليمان الواسطي,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج9/ص342 | duafa_uqayli:ج2/ص109
بشار بن موسى الخفاف,بشار بن موسي الخفاف,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,
سلم بن سالم البلخي,سلم بن سالم البلخي,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج9/ص378
نصر بن باب,نصر بن باب,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج9/ص380 | duafa_uqayli:ج4/ص302
علي بن أبي طلحة,علي بن ابي طلحه,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,tabaqat_ibnsad:ج9/ص461
العلاء بن الحارث,العلا بن الحارث,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,
مشرح بن هاعان,مشرح بن هاعان,2,2,biography/ṭabaqāt; jarḥ (ḍuʿafāʾ),duafa_uqayli; tabaqat_ibnsad,
عبد الأعلى بن أبي المساور أبو مسعود الجرار,عبد الاعلي بن ابي المساور ابو مسعود الجرار,2,2,jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; duafa_uqayli,
عبد الله بن عبد العزيز بن أبي رواد,عبد الله بن عبد العزيز بن ابي رواد,2,2,jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; duafa_uqayli,duafa_uqayli:ج2/ص279
عبد الله بن يسار وهو ابن أبي نجيح,عبد الله بن يسار وهو ابن ابي نجيح,2,2,jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; duafa_uqayli,
عبد الملك بن عبد الرحمن أبو العباس الشامي,عبد الملك بن عبد الرحمن ابو العباس الشامي,2,2,jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; duafa_uqayli,duafa_uqayli:ج3/ص27
عبد المهيمن بن عباس بن سهل بن سعد,عبد المهيمن بن عباس بن سهل بن سعد,2,2,jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; duafa_uqayli,duafa_uqayli:ج3/ص114
علي بن عاصم بن صهيب أبو الحسن الواسطي,علي بن عاصم بن صهيب ابو الحسن الواسطي,2,2,jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; duafa_uqayli,duafa_uqayli:ج3/ص246
عمر بن إسماعيل بن مجالد بن سعيد الهمداني,عمر بن اسماعيل بن مجالد بن سعيد الهمداني,2,2,jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; duafa_uqayli,duafa_uqayli:ج3/ص149
محمد بن مسلم بن تدرس أبو الزبير المكي,محمد بن مسلم بن تدرس ابو الزبير المكي,2,2,jarḥ (ḍuʿafāʾ); marāsīl/connection,duafa_ibnjawzi; jami_tahsil_alai,
مخرمة بن بكير بن عبد الله بن الأشج,مخرمه بن بكير بن عبد الله بن الاشج,2,2,jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; duafa_uqayli,
يحيى بن يعقوب بن مدرك أبو طالب القاص,يحيي بن يعقوب بن مدرك ابو طالب القاص,2,2,jarḥ (ḍuʿafāʾ),duafa_ibnjawzi; duafa_uqayli,
